domain,problem,search,heuristic,cost,goal,atl,ctl,el,solution_index,duplicates_skipped,visited,generated,time_ms,memory_delta_mb,success,author_signature,plan
space,space.txt,astar,rp,temporal,2.0,9,3,1,1,0,30,351,37,1,true,"begin_erupt(Surface) erupt(Surface) teleport_from_ship(Zoe, Ship, Surface)","begin_erupt(Surface) | erupt(Surface) | teleport_from_ship(Zoe, Ship, Surface) | | walk(Zoe, Surface, Cave) | | make_peace(Zoe, Lizard, Cave) | | | goal(Lizard, relationship(Lizard, Zoe) == 1 & safe(Lizard) == True & status(Lizard) == Healthy) | | goal(Zoe, relationship(Zoe, Lizard) == 1 & safe(Zoe) == True & status(Zoe) == Healthy) | goal(relationship(Zoe, Lizard) <= 0 & status(Zoe) == Dead & status(Lizard) != Dead & status(Surface) == Uninhabitable)"
space,space.txt,astar,rp,temporal,2.0,9,3,1,2,0,44,382,42,1,true,"begin_erupt(Surface) teleport_from_ship(Zoe, Ship, Surface) erupt(Surface)","begin_erupt(Surface) | teleport_from_ship(Zoe, Ship, Surface) | | walk(Zoe, Surface, Cave) | | make_peace(Zoe, Lizard, Cave) | | | goal(Lizard, relationship(Lizard, Zoe) == 1 & safe(Lizard) == True & status(Lizard) == Healthy) | | goal(Zoe, relationship(Zoe, Lizard) == 1 & safe(Zoe) == True & status(Zoe) == Healthy) | erupt(Surface) | goal(relationship(Zoe, Lizard) <= 0 & status(Zoe) == Dead & status(Lizard) != Dead & status(Surface) == Uninhabitable)"
