domain,problem,search,heuristic,cost,goal,atl,ctl,el,solution_index,duplicates_skipped,visited,generated,time_ms,memory_delta_mb,success,author_signature,plan
lovers,lovers.txt,astar,rp,temporal,1.0,5,5,2,1,0,39156,593396,69713,1642,true,"move(C1, R11, R12) tell(C1, C2, I3, R12) give(C2, I3, C1, R12) move(C1, R12, R22) trade(C1, I3, C3, I1, R22)","lovers,lovers.txt,astar,rp,temporal,1.0,5,5,2,1,0,48630,693080,82767,3902,true,"move(C1, R11, R12) tell(C1, C2, I3, R12) give(C2, I3, C1, R12) move(C1, R12, R22) trade(C1, I3, C3, I1, R22)","move(C1, R11, R12) | | move(C2, R12, R22) | | | trade(C2, I3, C3, I1, R22) | | | | goal(C3, happy(C2) == False & happy(C3) == True) | | | move(C2, R22, R12) | | | give(C2, I1, C1, R12) | | | | goal(C1, happy(C1) == True & happy(C3) == False) | | | goal(C2, happy(C1) == True & happy(C2) == False) | | trade(C2, I3, C3, I1, R22) | | | move(C2, R22, R12) | | | give(C2, I1, C1, R12) | | | | goal(C1, happy(C1) == True & happy(C3) == False) | | | goal(C2, happy(C1) == True & happy(C2) == False) | | | goal(C3, happy(C2) == False & happy(C3) == True) | | move(C1, R12, R22) | | give(C2, I1, C1, R22) | | | goal(C2, happy(C1) == True & happy(C2) == False) | | goal(C1, happy(C1) == True & happy(C3) == True) | tell(C1, C2, I3, R12) | | give(C2, I3, C1, R12) | | | goal(C2, happy(C1) == True & happy(C2) == False) | | move(C1, R12, R22) | | trade(C1, I3, C3, I1, R22) | | | goal(C3, happy(C2) == False & happy(C3) == True) | | goal(C1, happy(C1) == True & happy(C3) == True) | give(C2, I3, C1, R12) | | goal(C2, happy(C1) == True & happy(C2) == False) | | move(C1, R12, R22) | | trade(C1, I3, C3, I1, R22) | | | goal(C3, happy(C2) == False & happy(C3) == True) | | goal(C1, happy(C1) == True & happy(C3) == True) | move(C1, R12, R22) | | trade(C1, I3, C3, I1, R22) | | | goal(C3, happy(C2) == False & happy(C3) == True) | | goal(C1, happy(C1) == True & happy(C3) == True) | trade(C1, I3, C3, I1, R22) | | goal(C1, happy(C1) == True & happy(C3) == True) | | goal(C3, happy(C2) == False & happy(C3) == True) | goal(happy(C1) == True & happy(C3) == True)"
lovers,lovers.txt,astar,rp,temporal,1.0,5,5,2,2,0,251487,1948926,335405,1752,true,"move(C1, R11, R12) put_down(C3, I1, R22) move(C1, R12, R22) pick_up(C1, I1, R22)","move(C1, R11, R12) | | move(C2, R12, R22) | | | trade(C2, I3, C3, I1, R22) | | | | goal(C3, happy(C2) == False & happy(C3) == True) | | | move(C2, R22, R12) | | | give(C2, I1, C1, R12) | | | | goal(C1, happy(C1) == True & happy(C3) == False) | | | goal(C2, happy(C1) == True & happy(C2) == False) | | trade(C2, I3, C3, I1, R22) | | | move(C2, R22, R12) | | | give(C2, I1, C1, R12) | | | | goal(C1, happy(C1) == True & happy(C3) == False) | | | goal(C2, happy(C1) == True & happy(C2) == False) | | | goal(C3, happy(C2) == False & happy(C3) == True) | | move(C1, R12, R22) | | give(C2, I1, C1, R22) | | | goal(C2, happy(C1) == True & happy(C2) == False) | | goal(C1, happy(C1) == True & happy(C3) == True) | put_down(C3, I1, R22) | | move(C3, R22, R21) | | pick_up(C3, I2, R21) | | move(C3, R21, R11) | | move(C3, R11, R12) | | give(C3, I2, C2, R12) | | | goal(C2, happy(C1) == False & happy(C2) == True) | | goal(C3, happy(C2) == True & happy(C3) == False) | move(C1, R12, R22) | | move(C2, R12, R22) | | | trade(C2, I3, C3, I1, R22) | | | | goal(C3, happy(C2) == False & happy(C3) == True) | | | give(C2, I1, C1, R22) | | | | goal(C1, happy(C1) == True & happy(C3) == True) | | | goal(C2, happy(C1) == True & happy(C2) == False) | | trade(C2, I3, C3, I1, R22) | | | give(C2, I1, C1, R22) | | | | goal(C1, happy(C1) == True & happy(C3) == True) | | | goal(C2, happy(C1) == True & happy(C2) == False) | | | goal(C3, happy(C2) == False & happy(C3) == True) | | give(C2, I1, C1, R22) | | | goal(C2, happy(C1) == True & happy(C2) == False) | | goal(C1, happy(C1) == True & happy(C3) == True) | pick_up(C1, I1, R22) | | goal(C1, happy(C1) == True & happy(C3) == False) | goal(happy(C1) == True & happy(C3) == False)"
lovers,lovers.txt,astar,rp,temporal,1.0,5,5,2,3,0,251487,1948926,335407,16,true,"put_down(C3, I1, R22) move(C1, R11, R12) move(C1, R12, R22) pick_up(C1, I1, R22)","put_down(C3, I1, R22) | | move(C3, R22, R21) | | pick_up(C3, I2, R21) | | move(C3, R21, R11) | | move(C3, R11, R12) | | give(C3, I2, C2, R12) | | | goal(C2, happy(C1) == False & happy(C2) == True) | | goal(C3, happy(C2) == True & happy(C3) == False) | move(C1, R11, R12) | | move(C2, R12, R22) | | | trade(C2, I3, C3, I1, R22) | | | | goal(C3, happy(C2) == False & happy(C3) == True) | | | move(C2, R22, R12) | | | give(C2, I1, C1, R12) | | | | goal(C1, happy(C1) == True & happy(C3) == False) | | | goal(C2, happy(C1) == True & happy(C2) == False) | | trade(C2, I3, C3, I1, R22) | | | move(C2, R22, R12) | | | give(C2, I1, C1, R12) | | | | goal(C1, happy(C1) == True & happy(C3) == False) | | | goal(C2, happy(C1) == True & happy(C2) == False) | | | goal(C3, happy(C2) == False & happy(C3) == True) | | move(C1, R12, R22) | | give(C2, I1, C1, R22) | | | goal(C2, happy(C1) == True & happy(C2) == False) | | goal(C1, happy(C1) == True & happy(C3) == True) | move(C1, R12, R22) | | move(C2, R12, R22) | | | trade(C2, I3, C3, I1, R22) | | | | goal(C3, happy(C2) == False & happy(C3) == True) | | | give(C2, I1, C1, R22) | | | | goal(C1, happy(C1) == True & happy(C3) == True) | | | goal(C2, happy(C1) == True & happy(C2) == False) | | trade(C2, I3, C3, I1, R22) | | | give(C2, I1, C1, R22) | | | | goal(C1, happy(C1) == True & happy(C3) == True) | | | goal(C2, happy(C1) == True & happy(C2) == False) | | | goal(C3, happy(C2) == False & happy(C3) == True) | | give(C2, I1, C1, R22) | | | goal(C2, happy(C1) == True & happy(C2) == False) | | goal(C1, happy(C1) == True & happy(C3) == True) | pick_up(C1, I1, R22) | | goal(C1, happy(C1) == True & happy(C3) == False) | goal(happy(C1) == True & happy(C3) == False)"
lovers,lovers.txt,astar,rp,temporal,1.0,5,5,2,4,0,260562,2063044,356609,3008,true,"move(C3, R22, R21) put_down(C3, I1, R21) move(C1, R11, R21) pick_up(C1, I1, R21)","move(C3, R22, R21) | | put_down(C3, I1, R21) | | move(C2, R12, R11) | | | move(C2, R11, R21) | | | pick_up(C2, I2, R21) | | | goal(C2, happy(C1) == False & happy(C2) == True) | | move(C2, R11, R21) | | | pick_up(C2, I2, R21) | | | goal(C2, happy(C1) == False & happy(C2) == True) | | pick_up(C3, I2, R21) | | give(C3, I2, C2, R21) | | | goal(C2, happy(C1) == False & happy(C2) == True) | | goal(C3, happy(C2) == True & happy(C3) == False) | put_down(C3, I1, R21) | | move(C2, R12, R11) | | | move(C2, R11, R21) | | | pick_up(C2, I2, R21) | | | goal(C2, happy(C1) == False & happy(C2) == True) | | move(C2, R11, R21) | | | pick_up(C2, I2, R21) | | | goal(C2, happy(C1) == False & happy(C2) == True) | | pick_up(C3, I2, R21) | | give(C3, I2, C2, R21) | | | goal(C2, happy(C1) == False & happy(C2) == True) | | goal(C3, happy(C2) == True & happy(C3) == False) | move(C1, R11, R21) | | pick_up(C1, I2, R21) | | move(C1, R21, R22) | | trade(C1, I2, C3, I1, R22) | | | move(C3, R22, R12) | | | trade(C2, I3, C3, I2, R12) | | | | goal(C2, happy(C1) == False & happy(C2) == True) | | | goal(C3, happy(C2) == True & happy(C3) == True) | | move(C3, R22, R12) | | | trade(C2, I3, C3, I2, R12) | | | | goal(C2, happy(C1) == False & happy(C2) == True) | | | goal(C3, happy(C2) == True & happy(C3) == True) | | trade(C2, I3, C3, I2, R12) | | | goal(C2, happy(C1) == False & happy(C2) == True) | | | goal(C3, happy(C2) == True & happy(C3) == True) | | goal(C1, happy(C1) == True & happy(C3) == True) | pick_up(C1, I1, R21) | | goal(C1, happy(C1) == True & happy(C3) == False) | goal(happy(C1) == True & happy(C3) == False)"
lovers,lovers.txt,astar,rp,temporal,1.0,5,5,2,5,0,343606,3774370,565752,1560,true,"move(C1, R11, R21) pick_up(C1, I2, R21) move(C1, R21, R22) trade(C1, I2, C3, I1, R22)","move(C1, R11, R21) | | pick_up(C1, I2, R21) | | move(C1, R21, R22) | | trade(C1, I2, C3, I1, R22) | | | move(C3, R22, R12) | | | trade(C2, I3, C3, I2, R12) | | | | goal(C2, happy(C1) == False & happy(C2) == True) | | | goal(C3, happy(C2) == True & happy(C3) == True) | | move(C3, R22, R12) | | | trade(C2, I3, C3, I2, R12) | | | | goal(C2, happy(C1) == False & happy(C2) == True) | | | goal(C3, happy(C2) == True & happy(C3) == True) | | trade(C2, I3, C3, I2, R12) | | | goal(C2, happy(C1) == False & happy(C2) == True) | | | goal(C3, happy(C2) == True & happy(C3) == True) | | goal(C1, happy(C1) == True & happy(C3) == True) | pick_up(C1, I2, R21) | | move(C1, R21, R22) | | trade(C1, I2, C3, I1, R22) | | | move(C3, R22, R12) | | | trade(C2, I3, C3, I2, R12) | | | | goal(C2, happy(C1) == False & happy(C2) == True) | | | goal(C3, happy(C2) == True & happy(C3) == True) | | move(C3, R22, R12) | | | trade(C2, I3, C3, I2, R12) | | | | goal(C2, happy(C1) == False & happy(C2) == True) | | | goal(C3, happy(C2) == True & happy(C3) == True) | | trade(C2, I3, C3, I2, R12) | | | goal(C2, happy(C1) == False & happy(C2) == True) | | | goal(C3, happy(C2) == True & happy(C3) == True) | | goal(C1, happy(C1) == True & happy(C3) == True) | move(C1, R21, R22) | | trade(C1, I2, C3, I1, R22) | | | move(C3, R22, R12) | | | trade(C2, I3, C3, I2, R12) | | | | goal(C2, happy(C1) == False & happy(C2) == True) | | | goal(C3, happy(C2) == True & happy(C3) == True) | | move(C3, R22, R12) | | | trade(C2, I3, C3, I2, R12) | | | | goal(C2, happy(C1) == False & happy(C2) == True) | | | goal(C3, happy(C2) == True & happy(C3) == True) | | trade(C2, I3, C3, I2, R12) | | | goal(C2, happy(C1) == False & happy(C2) == True) | | | goal(C3, happy(C2) == True & happy(C3) == True) | | goal(C1, happy(C1) == True & happy(C3) == True) | trade(C1, I2, C3, I1, R22) | | goal(C1, happy(C1) == True & happy(C3) == False) | | move(C3, R22, R12) | | give(C3, I2, C2, R12) | | | goal(C2, happy(C1) == False & happy(C2) == True) | | goal(C3, happy(C2) == True & happy(C3) == False) | goal(happy(C1) == True & happy(C3) == False)"
