domain,problem,search,heuristic,cost,goal,atl,ctl,el,solution_index,duplicates_skipped,visited,generated,time_ms,memory_delta_mb,success,author_signature,plan
gramma,gramma.txt,astar,rp,temporal,1.0,6,5,2,1,0,3662,49626,7734,288,true,"walk(Tom, Cottage, Crossroads) walk(Tom, Crossroads, Market) buy(Tom, Medicine, TomCoin, Market) walk(Tom, Market, Crossroads) walk(Tom, Crossroads, Cottage)","walk(Tom, Cottage, Crossroads) | | walk(Merchant, Market, Crossroads) | | | walk(Merchant, Crossroads, Cottage) | | | buy(Tom, Medicine, TomCoin, Cottage) | | | | goal(Tom, location(Tom) == Cottage & location(Medicine) == Tom) | | | goal(Merchant, criminal(Merchant) == False & location(Merchant) != Market & location(TomCoin) == Merchant & location(BanditCoin) != Merchant) | | buy(Tom, Medicine, TomCoin, Crossroads) | | | goal(Merchant, criminal(Merchant) == False & location(Merchant) != Market & location(TomCoin) == Merchant & location(BanditCoin) != Merchant) | | walk(Tom, Crossroads, Cottage) | | goal(Tom, location(Tom) == Cottage & location(Medicine) == Tom) | walk(Tom, Crossroads, Market) | | buy(Tom, Medicine, TomCoin, Market) | | | goal(Merchant, criminal(Merchant) == False & location(Merchant) == Market & location(TomCoin) == Merchant & location(BanditCoin) != Merchant) | | walk(Tom, Market, Crossroads) | | walk(Tom, Crossroads, Cottage) | | goal(Tom, location(Tom) == Cottage & location(Medicine) == Tom) | buy(Tom, Medicine, TomCoin, Market) | | walk(Tom, Market, Crossroads) | | walk(Tom, Crossroads, Cottage) | | goal(Tom, location(Tom) == Cottage & location(Medicine) == Tom) | | goal(Merchant, criminal(Merchant) == False & location(Merchant) == Market & location(TomCoin) == Merchant & location(BanditCoin) != Merchant) | walk(Tom, Market, Crossroads) | | walk(Tom, Crossroads, Cottage) | | goal(Tom, location(Tom) == Cottage & location(Medicine) == Tom) | walk(Tom, Crossroads, Cottage) | | goal(Tom, location(Tom) == Cottage & location(Medicine) == Tom) | goal(location(Tom) == Cottage & location(Medicine) == Tom)"
gramma,gramma.txt,astar,rp,temporal,1.0,6,5,2,2,0,23172,256970,59901,1456,true,"walk(Tom, Cottage, Crossroads) walk(Bandit, Camp, Crossroads) attack(Bandit, Tom, Crossroads)","walk(Tom, Cottage, Crossroads) | | walk(Merchant, Market, Crossroads) | | | walk(Merchant, Crossroads, Cottage) | | | buy(Tom, Medicine, TomCoin, Cottage) | | | | goal(Tom, location(Tom) == Cottage & location(Medicine) == Tom) | | | goal(Merchant, criminal(Merchant) == False & location(Merchant) != Market & location(TomCoin) == Merchant & location(BanditCoin) != Merchant) | | buy(Tom, Medicine, TomCoin, Crossroads) | | | goal(Merchant, criminal(Merchant) == False & location(Merchant) != Market & location(TomCoin) == Merchant & location(BanditCoin) != Merchant) | | walk(Tom, Crossroads, Cottage) | | goal(Tom, location(Tom) == Cottage & location(Medicine) == Tom) | walk(Bandit, Camp, Crossroads) | | rob(Bandit, TomCoin, Tom, Crossroads) | | walk(Bandit, Crossroads, Camp) | | goal(Bandit, location(Bandit) == Camp & location(Medicine) != Bandit & location(TomCoin) == Bandit & location(BanditCoin) == Chest) | attack(Bandit, Tom, Crossroads) | | loot(Bandit, TomCoin, Tom, Crossroads) | | goal(Bandit, location(Bandit) != Camp & location(Medicine) != Bandit & location(TomCoin) == Bandit & location(BanditCoin) == Chest) | goal(alive(Tom) == False & location(Tom) != Cottage)"
gramma,gramma.txt,astar,rp,temporal,1.0,6,5,2,3,0,24450,263402,62531,112,true,"walk(Bandit, Camp, Crossroads) walk(Tom, Cottage, Crossroads) attack(Bandit, Tom, Crossroads)","walk(Bandit, Camp, Crossroads) | | rob(Bandit, TomCoin, Tom, Crossroads) | | walk(Bandit, Crossroads, Camp) | | goal(Bandit, location(Bandit) == Camp & location(Medicine) != Bandit & location(TomCoin) == Bandit & location(BanditCoin) == Chest) | walk(Tom, Cottage, Crossroads) | | walk(Merchant, Market, Crossroads) | | | walk(Merchant, Crossroads, Cottage) | | | buy(Tom, Medicine, TomCoin, Cottage) | | | | goal(Tom, location(Tom) == Cottage & location(Medicine) == Tom) | | | goal(Merchant, criminal(Merchant) == False & location(Merchant) != Market & location(TomCoin) == Merchant & location(BanditCoin) != Merchant) | | buy(Tom, Medicine, TomCoin, Crossroads) | | | goal(Merchant, criminal(Merchant) == False & location(Merchant) != Market & location(TomCoin) == Merchant & location(BanditCoin) != Merchant) | | walk(Tom, Crossroads, Cottage) | | goal(Tom, location(Tom) == Cottage & location(Medicine) == Tom) | attack(Bandit, Tom, Crossroads) | | loot(Bandit, TomCoin, Tom, Crossroads) | | goal(Bandit, location(Bandit) != Camp & location(Medicine) != Bandit & location(TomCoin) == Bandit & location(BanditCoin) == Chest) | goal(alive(Tom) == False & location(Tom) != Cottage)"
